time,kafka_connect,risingwave,clickhouse,redpanda,malut_clone
18:20:50,1997,4787,1062,701,171
18:20:53,1997,4785,962,701,171
18:20:57,1997,4788,942,701,171
18:21:01,1997,4789,971,701,171
18:21:04,1997,4788,956,701,171
18:21:07,1997,4790,954,701,171
18:21:11,1997,4790,956,701,171
18:21:14,1997,4790,941,701,171
18:21:17,1997,4789,943,701,171
18:21:21,1997,4792,937,701,171
