time,kafka_connect,risingwave,clickhouse,redpanda,malut_clone
18:07:11,1949,5275,964.8,699.6,170.9
18:07:15,1949,5275,976.3,699.6,170.9
18:07:18,1949,5272,958.8,699.6,170.9
18:07:21,1949,5274,964,699.6,171
18:07:25,1949,5275,980.2,699.6,170.9
18:07:28,1949,5274,952.7,699.6,170.9
18:07:31,1949,5270,1018,699.1,171.2
18:07:35,1949,5270,958.2,699.1,171
18:07:38,1949,5270,981.1,699.1,171
18:07:42,1949,5269,954.9,699.1,171.1
